Flower group,Flower name,url,Description
dahlias,Dahlia 'Kelsey Annie Joy',https://garden.org/plants/view/754370/Dahlia-Kelsey-Annie-Joy/,Full Sun
dahlias,Dahlia 'Destiny's John Michael',https://garden.org/plants/view/794227/Dahlia-Destinys-John-Michael/,Full Sun
dahlias,Dahlias (Dahlia),https://garden.org/plants/view/76165/Dahlias-Dahlia/,Full Sun
dahlias,Dahlia 'Formby Sunrise',https://garden.org/plants/view/807306/Dahlia-Formby-Sunrise/,Full Sun
dahlias,Dahlia 'Santa Claus',https://garden.org/plants/view/170440/Dahlia-Santa-Claus/,Full Sun
dahlias,Dahlia 'AC Sadie',https://garden.org/plants/view/800830/Dahlia-AC-Sadie/,Full Sun
dahlias,Dahlia 'Hapet Champagne',https://garden.org/plants/view/704041/Dahlia-Hapet-Champagne/,Full Sun
dahlias,Dahlia 'Firepot',https://garden.org/plants/view/171081/Dahlia-Firepot/,Full Sun
dahlias,Dahlia 'Thomas A. Edison',https://garden.org/plants/view/193972/Dahlia-Thomas-A-Edison/,Purple
dahlias,Dahlia 'Creme de Cassis',https://garden.org/plants/view/712078/Dahlia-Creme-de-Cassis/,Full Sun
lilies,Lily (Lilium pyrenaicum),https://garden.org/plants/view/117971/Lily-Lilium-pyrenaicum/,Bi-Color: Yellow and green
lilies,Lily (Lilium 'Viva La Vida'),https://garden.org/plants/view/778177/Lily-Lilium-Viva-La-Vida/,"Bi-Color: Yellow with red center,  spots"
lilies,Lily (Lilium 'Fusion'),https://garden.org/plants/view/708683/Lily-Lilium-Fusion/,"Multi-Color: Outside of tepals red-dusky pink. Inside of tepals large, irregular, golden yellow patch with numerous spots."
lilies,Lily (Lilium auratum),https://garden.org/plants/view/77536/Lily-Lilium-auratum/,Multi-Color: White and yellow with spots.
lilies,Lily (Lilium 'Flavia'),https://garden.org/plants/view/549540/Lily-Lilium-Flavia/,"Red, Yellow, Bi-Color: Yellow with large red blotch, darker red midribs"
lilies,Lily (Lilium 'Ramona'),https://garden.org/plants/view/769401/Lily-Lilium-Ramona/,White
lilies,Lily (Lilium 'Moonyeen'),https://garden.org/plants/view/231691/Lily-Lilium-Moonyeen/,Full Sun
lilies,Lily (Lilium 'Sunny Morning'),https://garden.org/plants/view/231739/Lily-Lilium-Sunny-Morning/,Full Sun
lilies,Lily (Lilium 'Corsage'),https://garden.org/plants/view/232982/Lily-Lilium-Corsage/,"Pink, Other: With white center and deep maroon spots."
roses,Rose (Rosa 'Ebb Tide'),https://garden.org/plants/view/2856/Rose-Rosa-Ebb-Tide/,Purple
roses,Rose (Rosa 'Veilchenblau'),https://garden.org/plants/view/1658/Rose-Rosa-Veilchenblau/,Lavender
roses,Rose (Rosa 'Institut Lumiere'),https://garden.org/plants/view/767820/Rose-Rosa-Institut-Lumiere/,Orange
roses,Rose (Rosa 'Lavender Crush'),https://garden.org/plants/view/706281/Rose-Rosa-Lavender-Crush/,Lavender
roses,Rose (Rosa 'Angel Face'),https://garden.org/plants/view/122/Rose-Rosa-Angel-Face/,Lavender
roses,Rose (Rosa 'The Pilgrim'),https://garden.org/plants/view/563/Rose-Rosa-The-Pilgrim/,Yellow
roses,Rose (Rosa 'Sexy Rexy'),https://garden.org/plants/view/1000/Rose-Rosa-Sexy-Rexy/,Pink
roses,Rose (Rosa 'Wife of Bath'),https://garden.org/plants/view/575/Rose-Rosa-Wife-of-Bath/,Pink
roses,Rose (Rosa 'Soul Sister'),https://garden.org/plants/view/711483/Rose-Rosa-Soul-Sister/,Other: Apricot blend
roses,Roses (Rosa),https://garden.org/plants/view/181506/Roses-Rosa/,Full Sun
tulips,Greigii Tulip (Tulipa 'Fire of Love'),https://garden.org/plants/view/233463/Greigii-Tulip-Tulipa-Fire-of-Love/,Red
tulips,Triumph Tulip (Tulipa 'Aperitif'),https://garden.org/plants/view/641630/Triumph-Tulip-Tulipa-Aperitif/,Bi-Color: Reddish-orange/yellow
tulips,Tulip (Tulipa 'Brown Sugar'),https://garden.org/plants/view/240133/Tulip-Tulipa-Brown-Sugar/,Bi-Color: dull red and dull orange
tulips,Waterlily Tulip (Tulipa kaufmanniana 'Scarlet Baby'),https://garden.org/plants/view/147699/Waterlily-Tulip-Tulipa-kaufmanniana-Scarlet-Baby/,"Red, Other: Dark red"
tulips,Lily Flowering Tulip (Tulipa 'Claudia'),https://garden.org/plants/view/113101/Lily-Flowering-Tulip-Tulipa-Claudia/,Bi-Color: Purple/white
tulips,Triumph Tulip (Tulipa 'Jackpot'),https://garden.org/plants/view/118975/Triumph-Tulip-Tulipa-Jackpot/,"Bi-Color: Purple/white, Other: Deep, dark reddish purple that changes in tone to a narrow edge of pure white"
tulips,Lady Tulip (Tulipa clusiana),https://garden.org/plants/view/113077/Lady-Tulip-Tulipa-clusiana/,Bi-Color: White and crimson or yellow and crimson
tulips,Waterlily Tulip (Tulipa kaufmanniana 'Corona'),https://garden.org/plants/view/169024/Waterlily-Tulip-Tulipa-kaufmanniana-Corona/,Bi-Color
